transaction_ref,order_ref,amount,currency,payment_date,status
TXN-100000,order100000,24608.35,INR,2026-07-13,SUCCESS
TXN-100001,ORDER-100001,7349.61,INR,2026-06-26,SUCCESS
TXN-100002,ORDER-100002,13453.95,INR,2026-06-13,SUCCESS
txn_100003,ORDER-100003,48016.81,INR,2026-07-08,SUCCESS
TXN-100004,order100004,18878.39,INR,2026-06-25,SUCCESS
TXN100005,ORD100005,39052.48,INR,2026-07-23,SUCCESS
TXN-100006,ORDER-100006,18055.75,INR,2026-07-16,SUCCESS
TXN-100007,order100007,16879.59,INR,2026-07-03,SUCCESS
TXN100008,order100008,7042.98,INR,2026-08-10,SUCCESS
TXN100009,order100009,34889.01,INR,2026-08-01,SUCCESS
TXN100010,ORDER-100010,33606.38,INR,2026-08-04,SUCCESS
TXN-100011,ORDER-100011,49488.24,INR,2026-06-03,SUCCESS
TXN100012,ORD100012,17131.23,INR,2026-06-18,SUCCESS
TXN-100014,ORDER-100014,44204.93,INR,2026-07-04,SUCCESS
TXN100015,order100015,40770.00,INR,2026-08-15,SUCCESS
TXN-100016,ORD100016,45449.97,INR,2026-08-11,PENDING
txn_100017,order100017,5271.56,INR,2026-06-19,SUCCESS
TXN100018,ORDER_100018,6410.12,INR,2026-06-30,SUCCESS
txn_100019,ORDER-100019,47125.38,INR,2026-07-23,SUCCESS
TXN100020,ORDER_100020,43087.43,INR,2026-07-09,SUCCESS
TXN100021,order100021,26873.03,INR,2026-06-13,SUCCESS
TXN-100022,order100022,28126.85,INR,2026-08-26,PENDING
txn_100023,ORD100023,44076.99,INR,2026-08-11,SUCCESS
TXN-100024,order100024,33664.92,INR,2026-07-15,SUCCESS
